district,end_date,issued_on,permittee_name,permit_no,address,lat,lng,start_date
YAU TSIM MONG,30/06/2013,06/05/2013,CRBC-WCCL JV,GW-RE0433-13,Flyover at South Bound of West Kowloon Corridor near Maple Street (HYD Structure No. K54A) (Highways Department Contract No.: 13/HY/2009).,-1,-1,12/05/2013
KWUN TONG,06/06/2013,03/05/2013,Advance Engineering (Development) Ltd.,GW-RE0434-13,"Concourse and Platform of MTR Lam Tin Station, Kowloon (MTR Contract No. C4689-12C )",-1,-1,07/05/2013
YAU TSIM MONG,05/07/2013,06/05/2013,SUN FOOK KONG (CIVIL) LIMITED,GW-RE0435-13,"Road Section of Slip Road along Chatham Road North to Hong Chong Road, Tsim Sha Tsui, Kowloon (Highways Department Contract No.: HY/2012/11)",-1,-1,07/05/2013
SAI KUNG,29/06/2013,03/05/2013,Hung Kai (HK) Engineering Co Ltd,GW-RE0436-13,"Wan Po Road and Shek Kok Road near Lohas Park, Tseung Kwan O, N.T.",-1,-1,06/05/2013
SAI KUNG,05/11/2013,03/05/2013,Paul Y. Construction & Engineering Co. Limited,GW-RE0437-13,"Site A, T.K.O.T.L. No. 90, Area 85, Tseung Kwan O, N.T.",-1,-1,06/05/2013
YAU TSIM MONG,08/06/2013,08/05/2013,EXCEL ENGINEERING COMPANY LIMITED,GW-RE0438-13,"Road Sections at Science Museum Road near Hong Chong Road, Tsim Sha Tsui, Kowloon (WSD Contract No.: 13/WSD/10).",-1,-1,10/05/2013
KOWLOON CITY,08/06/2013,03/05/2013,MING HING WATERWORKS ENGINEERING CO LTD,GW-RE0439-13,"Junction Road between Waterloo Road and Renfrew Road, Kowloon Tong, Kowloon (WSD Contract No. 13/WSD/11).",-1,-1,06/05/2013
YAU TSIM MONG,07/10/2013,03/05/2013,ATAL BUILDING SERVICES ENGINEERING LIMITED,GW-RE0440-13,"Plant room area at platform level of MTR Yau Ma Tei Station, Yau Ma Tei, Kowloon (MTR Contract No.: 1064)",-1,-1,08/05/2013
YAU TSIM MONG,30/06/2013,06/05/2013,China State Construction Engineering (Hong Kong) Limited,GW-RE0441-13,"Road section of Prince Edward Road West near the Royal Plaza Hotel, Mong Kok, Kowloon (WSD Contract No.: 3/WSD/08)",-1,-1,12/05/2013
YAU TSIM MONG,30/06/2013,07/05/2013,CRBC – WCCL JV,GW-RE0442-13,"Road section of Shanghai Street between Soy Street and Shantung Street, Mong Kok, Kowloon (Highways Department Contract No.: 13/HY/2009)",-1,-1,17/05/2013
YAU TSIM MONG,29/06/2013,07/05/2013,CRBC-WCCL JV,GW-RE0443-13,"Section of Flyover K20 at Princess Margaret Road across Chatham Road South and Gascoigne Road, Tsim Sha Tsui, Kowloon  (Highways Department Contract No.: 13/HY/2009)",-1,-1,15/05/2013
KWUN TONG,22/11/2013,07/05/2013,China State Construction Engineering (Hong Kong) Ltd,GW-RE0444-13,"Construction Site of Cargo Circuit Road, Kowloon Bay, Kowloon (WSD Contract No. 3/WSD/08).",-1,-1,23/05/2013
YAU TSIM MONG,13/07/2013,07/05/2013,GAMMON - KADEN SCL 1111 JOINT VENTURE,GW-RE0445-13,"Hung Hom North Approach Tunnels, Kowloon - Workfronts 1-2 and 3, (MTR Shatin to Central Link (SCL) Contract No.: 1111).",-1,-1,10/05/2013
WONG TAI SIN,25/05/2013,06/05/2013,MING HING WATERWORKS ENGINEERING CO LTD,GW-RE0447-13,"Lung Cheung Road near Tan Fung House and Pak Suet House, Choi Hung Estate, Kowloon (WSD Contract No. 13/WSD/11).",-1,-1,09/05/2013
KWUN TONG,23/06/2013,10/05/2013,CHUN WO CONSTRUCTION & ENGINEERINGS COMPANY LIMITED,GW-RE0448-13,"Outside 139 Hoi Bun Road, Kwun Tong, Kowloon (ASD Contract No. SS A508).",-1,-1,17/05/2013
YAU TSIM MONG,08/06/2013,08/05/2013,"GARTNER CONTRACTING CO., LIMITED",GW-RE0449-13,"Pavement Section and Road Section outside 13 Canton Road, Tsim Sha Tsui, Kowloon",22.297756,114.168542,10/05/2013
KOWLOON CITY,31/05/2013,07/05/2013,BORDON CONSTRUCTION CO. LTD.,GW-RE0451-13,"Site 1G1, NKIL 6515, Kai Tak, Kowloon (Urban Renewal Authority : Main Contract Works for Kai Tak Flat-For-Flat Development).",-1,-1,08/05/2013
YAU TSIM MONG,11/06/2013,08/05/2013,Gammon-Kaden SCL 1111 Joint Venture,GW-RE0452-13,"Hung Hom North Approach Tunnels, Kowloon - Mong Kok East Station (MTR Shatin to Central Link (SCL) Contract No.: 1111)",-1,-1,10/05/2013
YAU TSIM MONG,14/06/2013,10/05/2013,MING HING WATERWORKS ENGINEERING COMPANY LIMITED,GW-RE0453-13,"Road Sections at Canton Road between Peking Road and Haiphong Road, Tsim Sha Tsui, Kowloon (WSD Contract No.: 14/WSD/11).",-1,-1,14/05/2013
YAU TSIM MONG,11/06/2013,09/05/2013,MING HING WATERWORKS ENGINEERING COMPANY LIMITED,GW-RE0454-13,"Road sections at Salisbury Road near Star Ferry Pier, Tsim Sha Tsui, Kowloon (WSD Contract No.: 14/WSD/11)",-1,-1,10/05/2013
YAU TSIM MONG,13/07/2013,13/05/2013,UNION CONSTRACTORS LIMITED,GW-RE0455-13,"Concourse Level and Walkway Level of Entrances A & D, MTR Hung Hom Station, Hung Hom, Kowloon (MTR Contract No.:K1184-12C).",-1,-1,14/05/2013
YAU TSIM MONG,22/06/2013,13/05/2013,CHINA STATE CONSTRUCTION ENGINEERING (HONG KONG) LIMITED,GW-RE0456-13,"Road Sections of Jordan Road between Shanghai Street and Woosung Street, Yau Ma Tei, Kowloon (WSD Contract No.:",-1,-1,22/05/2013
KWUN TONG,02/06/2013,13/05/2013,MING HING WATERWORKS ENGINEERING CO LTD,GW-RE0458-13,"Outside 448-458 Kwun Tong Road, Kwun Tong, Kowloon (WSD Contract No. 7/WSD/08).",-1,-1,17/05/2013
SAI KUNG,30/06/2013,08/05/2013,CHINA ROAD AND BRIDGE CORPORATION,GW-RE0459-13,"The roundabout and the road sections at the junction of King Ling Road, Tong Ming Street and Po Shun Road,  Tseung Kwan O, N.T. (HyD Contract No. 07/HY/2011).",-1,-1,26/05/2013
SAI KUNG,14/11/2013,08/05/2013,China State Construction Engineering (Hong Kong) Ltd,GW-RE0460-13,"Design and Construction of Fire Services Training School cum Driving Training School at Pak Shing Kok, Area 78, Tseung Kwan O, N.T. (ASD Contract No. SS A503)",-1,-1,15/05/2013
YAU TSIM MONG,30/06/2013,16/05/2013,CHINA STATE CONSTRUCTION ENGINEERING (HONG KONG) LIMITED,GW-RE0464-13,"Road Sections of Battery Street between Kansu Street and Public Square Street, Jordan, Kowloon (WSD Contract No. : 3/WSD/08).",-1,-1,19/05/2013
KOWLOON CITY,15/06/2013,13/05/2013,Wo Hing Construction Co. Ltd.,GW-RE0466-13,"Argyle Street junction of Waterloo Road and Princess Margaret Road, Ho Man Tin, Kowloon (WSD Contract No. 6/WSD/08).",-1,-1,21/05/2013
KOWLOON CITY,18/06/2013,10/05/2013,LAM WOO  & CO LTD,GW-RE0468-13,"Sung Wong Toi Road between Tam Kung Road and Ma Tau Chung Road, Ma Tau Kok, Kowloon",-1,-1,15/05/2013
KWUN TONG,20/07/2013,13/05/2013,MING HING WATERWORKS ENGINEERING CO LTD,GW-RE0471-13,"Hung To Road near Hoi Yuen Road, Kwun Tong, Kowloon (WSD Contract No. 7/WSD/08)",-1,-1,21/06/2013
KWUN TONG,01/11/2013,13/05/2013,Paul Y. Construction & Engineering Co. Limited,GW-RE0472-13,"The construction of a sub-divisional fire station with ambulance facility cum urban search and rescue equipment store at Cheung Yip Street, Kowloon Bay, Kowloon. (ASD Contract No. SS Y301)",-1,-1,15/05/2013
YAU TSIM MONG,22/06/2013,16/05/2013,WO HING CONSTRUCTION CO LTD,GW-RE0473-13,"Road Sections at Nathan Road Southbound near Cameron Road and Mody Road, Tsim Sha Tsui, Kowloon (WSD Contract No.: 6/WSD/08).",-1,-1,03/06/2013
KOWLOON CITY,20/11/2013,14/05/2013,Samsung - Hsin Chong Joint Venture,GW-RE0477-13,"Sung Wong Toi and To Kwa Wan Stations and Tunnels, Kai Tak, Kowloon (MTR Contract No. 1109).",-1,-1,21/05/2013
YAU TSIM MONG,14/07/2013,15/05/2013,GAMMON - KADEN SCL 1111 JOINT VENTURE,GW-RE0479-13,"Hung Hom North Approach Tunnels, Kowloon – Slip Road from Chatham Road North slow lane eastbound to Hong Chong Road (MTR Shatin to Central Link (SCL) Contract No.: 1111).",-1,-1,19/05/2013
KOWLOON CITY,15/06/2013,14/05/2013,Gammon Construction Limited,GW-RE0480-13,"139-147 Argyle Street, Ho Man Tin, Kowloon",22.323831,114.181396,16/05/2013
KOWLOON CITY,30/11/2013,16/05/2013,Penta-Ocean - Concentric - Alchmex Joint Venture,GW-RE0484-13,"construction site of Kai Tak Development at  South Apron area of Kai Tak Airport near 8 Kai Fuk Road, Kowloon (CEDD Contract No. KL/2010/02).",-1,-1,31/05/2013
KWUN TONG,16/06/2013,16/05/2013,WO HING CONSTRUCTION CO. LTD,GW-RE0485-13,"Backlane of 82 Hung To Road, Kwun Tong, Kowloon (WSD Contract No. 1/WSD/11(K)).",-1,-1,26/05/2013
KWUN TONG,21/06/2013,16/05/2013,PENTA-OCEAN CONSTRUCTION CO. LIMITED,GW-RE0488-13,"Kellett School New Campus Development, Lot No. N.K.I.L 6504, Kowloon Bay, Kowloon.",22.3266646,114.2078426,22/05/2013
YAU TSIM MONG,17/11/2013,16/05/2013,CHINA OVERSEAS BUILDING CONSTRUCTION LIMITED,GW-RE0491-13,"Site area bounded by Canton Road, Wui Cheung Road and Austin Road West, Kowloon - MTR Austin Station Residential Development Site D, K.I.L. No. 11129",-1,-1,20/05/2013
KWUN TONG,31/05/2013,20/05/2013,LEADER CIVIL-RICHWELL JV,GW-RE0496-13,"Kai Wah Street, Kai Shing Street and the junction of Wang Kwong Road and Kai Wah Street, Kowloon Bay, Kowloon (CEDD Contract No.KL/2008/09).",-1,-1,20/05/2013
KWUN TONG,22/05/2013,12/11/2012,China State Construction Engineering (Hong Kong) Ltd,GW-RE0959-12,"Construction Site of Cargo Circuit Road, Kowloon Bay, Kowloon (WSD Contract No. 3/WSD/08).",-1,-1,23/11/2012
KWUN TONG,25/05/2013,15/11/2012,Kum Shing (K F) Construction Company Limited,GW-RE0981-12,"Kwun Tong Road near Hong Ning Road, Kwun Tong, Kowloon.",22.313515,114.223246,26/11/2012
YAU TSIM MONG,24/05/2013,15/11/2012,THE JARDINE ENGINEERING CORPORATION LIMITED,GW-RE0998-12,"MTR North Intake Cell and Ventilation Building next to the Hong Kong Museum of Art, Tsim Sha Tsui, Kowloon (MTR Contract No.: C5195-11E).",-1,-1,26/11/2012
KWUN TONG,11/06/2013,22/11/2012,SANFIELD ENGINEERING CONSTRUCTION LTD.,GW-RE1026-12,"K.T.I.L. 173, 181 Hoi Bun Road, Kwun Tong, Kowloon",22.310147,114.2196807,12/12/2012
KOWLOON CITY,28/05/2013,29/11/2012,PENTA - OCEAN - CONCENTRIC - ALCHMEX,GW-RE1038-12,Kai Tak development - Kai Tak approach channel and Kwun Tong typhoon shelter improvement works (Phase 1) (CEDD Contract No. KL/2010/02),-1,-1,29/11/2012
WONG TAI SIN,31/05/2013,30/11/2012,HUNG YIP (HK) ENGINEERING CO LTD,GW-RE1041-12,"Reconstruction of Footbridge near Hsin Kuang Centre and Extension of Bus Bays at Lung Cheung Road, Kowloon",-1,-1,01/12/2012
KOWLOON CITY,31/05/2013,03/12/2012,Penta-Ocean - Concentric - Alchmex Joint Venture,GW-RE1044-12,"Kai Tak Development Area - near Kai Fuk Road, Kowloon Bay, Kowloon (CEDD Contract No. KL/2010/02)",-1,-1,05/12/2012
YAU TSIM MONG,04/06/2013,05/12/2012,KUM SHING (K F) CONSTRUCTION CO LTD,GW-RE1054-12,"Below Footbridge at Junction of Waterloo Road and Ferry Street, Yau Ma Tei, Kowloon (CLP Contract No.: OA4610000818).",-1,-1,05/12/2012
SAI KUNG,29/05/2013,30/11/2012,Chun Wo - CRGL Joint Venture,GW-RE1055-12,"Tseung Kwan O Area 137 (Public Fill Bank) - Sorting Facility, Tseung Kwan O (Contract no.: HK/2009/02), NT",-1,-1,01/12/2012
KOWLOON CITY,31/05/2013,05/12/2012,Kum Shing (KF) Construction Co. Limited,GW-RE1057-12,"377 Prince Edward Road West and Hau Wong Road near 388 Prince Edward Road West, Kowloon City, Kowloon (CLP Contract No. OA4610000818).",-1,-1,01/12/2012
SAI KUNG,15/06/2013,03/12/2012,K. Wah Asphalt Limited,GW-RE1061-12,"KWP Quarry near  Anderson Road, Kowloon",-1,-1,16/12/2012
KWUN TONG,23/06/2013,18/12/2012,Gammon Construction Limited,GW-RE1097-12,"Public Rental Housing Development at Anderson Road Site D and Site E Phase 1 and 2, Kowloon (Hong Kong Housing Authority Contract No. 20110023).",-1,-1,24/12/2012
KOWLOON CITY,16/06/2013,14/12/2012,SAMSUNGHSIN CHONG  JOINT VENTURE,GW-RE1099-12,"Receptor site for tree transplanting at Kai Tak, Kowloon (MTR Contract No. 1109)",22.318056,114.2,17/12/2012
KWUN TONG,01/07/2013,24/12/2012,ANDERSON CONCRETE LIMITED,GW-RE1105-12,"YTML 69, 8 TUNG YUEN STREET, YAU TONG, KOWLOON KLN",-1,-1,01/01/2013
KOWLOON CITY,07/07/2013,24/12/2012,Sun Fook Kong (Civil) Ltd,GW-RE1108-12,"all major roads and bridges in Kwun Tong, Kowloon Bay, Wong Tai Sin, Kowloon City and Hung Hom, Kowloon (Painting works and Maintenance Works, HyD Contract No. 07/HY/2008).",-1,-1,08/01/2013
SAI KUNG,29/06/2013,18/12/2012,K. WAH CONCRETE CO LTD,GW-RE1110-12,"K. Wah Concrete Co. Ltd. , Anderson Road, Quarry Site, Sai Kung, NT",-1,-1,30/12/2012
KWUN TONG,03/06/2013,20/12/2012,Kin Shing (Leung's) General Contractors Ltd.,GW-RE1113-12,"135 - 137 Hoi Bun Road, Kwun Tong, Kowloon",22.3126549,114.2173312,21/12/2012
KOWLOON CITY,16/06/2013,20/12/2012,Hsin Chong Construction (Asia) Limited,GW-RE1117-12,"N.K.I.L. 6423, 3 and 5 Ede Road, Kowloon Tong, Kowloon.",22.3408934,114.1782652,22/12/2012
YAU TSIM MONG,24/06/2013,20/12/2012,CHINA STATE CONSTRUCTION ENGINEERING (HONG KONG) LIMITED,GW-RE1121-12,"Junction of Chatham Road South and Princess Margaret Road, Kowloon (The Hong Kong Polytechnic University - Phase 8 Development)",-1,-1,25/12/2012
KWUN TONG,30/06/2013,19/12/2012,W HING CONSTRUCTION COMPANY LIMITED,GW-RE1125-12,"K.T.I.L. No. 442-443, 15-17 Chong Yip Street, Kwun Tong, Kowloon.",22.3138321,114.2202094,01/01/2013
SAI KUNG,15/07/2013,28/12/2012,Hsin Chong Construction Co. Ltd.,GW-RE1132-12,"Proposed Research and Academic Building at The Hong Kong University of Science and Technology at Clearwater Bay, Sai Kung, N.T.",22.3374534,114.2629409,16/01/2013
KOWLOON CITY,03/07/2013,24/12/2012,Samsung - Hsin Chong JV,GW-RE1143-12,"construction site of Chatham Road North/Shansi Street/Ko Shan Road, Hung Hom, Kowloon (MTR Contract No. 1109).",-1,-1,04/01/2013
SAI KUNG,15/07/2013,24/12/2012,HANISON CONSTRUCTION COMPANY LIMITED,GW-RE1147-12,"The construction site of Public Rental Housing Development at Tseung Kwan O Area 65B , near Bauhina Garden, Tseung Kwan O, NT (HKHA Contract no. 20100086)",-1,-1,16/01/2013
SAI KUNG,02/07/2013,28/12/2012,"REGENT CONSTRUCTION CO., LTD.",GW-RE1148-12,"T.K.O.T.L. 39 s.F and ext. thereto,  No. 2 Chun Yat Street, Tseung Kwan O Industrial Estate, Tseung Kwan O, N.T.",-1,-1,03/01/2013
SAI KUNG,30/06/2013,02/01/2013,China Harbour Emgineering Company Limited,GW-RE1151-12,Hong Kong-Zhuhai-Macao Bridge Hong Kong Boundary Crossing Facilities – Reclamation Works (HyD Contract No. HY/2010/02).,22.396428,114.109497,04/01/2013
WONG TAI SIN,14/07/2013,28/12/2012,Shui On Building Contractors Limited,GW-RE1152-12,"Tsz Wan Shan 400kV Substation, 171 Shatin Pass Road, Tsz Wan Shan, Kowloon.",22.3490671,114.1944624,20/01/2013
KWUN TONG,27/06/2013,03/01/2013,HSIN CHONG CONSTRUCTION CO LTD,GW-RE1153-12,"Construction Site of Public Rental Housing Development at Anderson Road Site D, Sau Mau Ping, Kowloon",22.3196469,114.2345917,28/12/2012
KOWLOON CITY,30/06/2013,02/01/2013,TYSAN FOUNDATION LIMITED,GW-RE1158-12,"K.I.L. 11111, at the junction of Kin Wan Street and Hung Luen Road, Hung Hom, Kowloon.",22.300993,114.186566,03/01/2013
TAI PO,03/07/2013,14/01/2013,AUTOTOLL LIMITED,GW-RN0003-13,"Tolo Highway, near Hong Kong Science Park, Shatin, NT",22.4290682,114.2085857,04/01/2013
YUEN LONG,30/06/2013,04/01/2013,Chiu Hing Construction & Transportation Company Limited,GW-RN0006-13,"Route 9, Yuen Long Highway CH39.9-CH37.55, San Tin Highway CH37.55-CH31.35, Fanling Highway CH31.35-CH30.3 and San Sham Road (both bound, full width including all slip road), Yuen Long, New Territories",-1,-1,11/01/2013
YUEN LONG,01/07/2013,04/01/2013,Gammon Construction Limited,GW-RN0007-13,"Hung Shui Kiu, Area 13, Phases 3, Yuen Long, N.T.",-1,-1,01/01/2013
SHA TIN,04/06/2013,18/01/2013,Siemens Limited,GW-RN0009-13,"Electrical Substation at Sha Tin Transfer Station, No. 2 On Hing Lane, Shatin, N.T.",-1,-1,04/03/2013
YUEN LONG,31/08/2013,04/01/2013,Yee Hop Engineering Company Limited,GW-RN0011-13,"Construction sites besides Kam Tin Road near Ha Ko Po Tsuen, Kam Tin, Yuen Long, New Territories.",22.444489,114.049113,01/03/2013
YUEN LONG,19/07/2013,08/01/2013,Maeda-China State Joint Venture,GW-RN0012-13,Construction site near Nam Hing West Road of Express Rail Link –Tai Kong Po to Tse Uk Tsuen Tunnels (Contract No.823A),-1,-1,20/01/2013
SHA TIN,21/07/2013,18/01/2013,Shun Yuen Construction Co Ltd,GW-RN0015-13,"Tai Wai to Wu Kai Sha, along MTR railway line",22.3697293,114.1736608,22/01/2013
SHA TIN,01/07/2013,21/01/2013,Gammon Construction Limited,GW-RN0022-13,"Tate's Cairn Highway, South Bound, CH16.82 to CH15.92, Full Width & Slip Road to Shek Mun Interchange, Shatin, N.T. (HyD Contract No.: 20/HY/2004)",-1,-1,23/01/2013
TAI PO,30/06/2013,18/01/2013,Chiu Hing Construction & Transportation Company Limited,GW-RN0027-13,"Management and maintenance of all roads in North and Tai Po District, excluding High Speed Roads, (Drainage Cleansing Work). (Highways Department Term Contract No. 06/HY/2011)",-1,-1,18/01/2013
SHA TIN,31/07/2013,25/01/2013,Welcome Construction Company Limited,GW-RN0028-13,"Construction site at Shatin Sewage Pumping Station and Tai Chung Kiu Road (nearby City One Shatin Block 13), Shatin, N.T.",-1,-1,01/02/2013
TAI PO,20/07/2013,17/01/2013,China State Construction Engineering (Hong Kong ) Limited,GW-RN0029-13,"Tolo Highway near Island House, Tai Po, New Territories ( Widening of Tolo Highway/Fanling Highway, Stage 1, Contract No. HY/2008/09 )",-1,-1,21/01/2013
SHA TIN,30/06/2013,25/01/2013,China State Construction Engineering (Hong Kong) Limited,GW-RN0034-13,"Tolo Highway Ma Liu Shui near Chak Cheung Street, Shatin, N.T.",-1,-1,29/01/2013
YUEN LONG,23/07/2013,15/01/2013,Maeda-China State Joint Venture,GW-RN0037-13,Construction site of Express Rail Link – Shek Kong Stabling Sidings & Emergency Rescue Siding (Contract No. 823B),-1,-1,24/01/2013
SHA TIN,21/07/2013,18/01/2013,Sang Hing Civil Contractors Co Ltd,GW-RN0042-13,"Tai Po Road - Ma Liu Shui, Shatin, N.T.",-1,-1,22/01/2013
SHA TIN,26/07/2013,25/01/2013,China Road And Bridge Corporation,GW-RN0046-13,"Wo Liu Hang Road between Min Fong Street and Wo Shui Street, Fo Tan, Shatin, N.T.",-1,-1,27/01/2013
SHA TIN,14/08/2013,23/01/2013,PAUL Y. CONSTRUCTION CO. LTD.,GW-RN0047-13,All streets in Shatin and Ma On Shan (Drainage Maintenance Works) [DSD Contract No.: DC/2011/01],-1,-1,15/02/2013
TAI PO,30/06/2013,18/01/2013,Chiu Hing Construction & Transportation Co. Ltd,GW-RN0048-13,"Kwong Fuk Road, Tai Po, NT",-1,-1,14/01/2013
YUEN LONG,28/07/2013,15/01/2013,Kwan On Construction Company Limited,GW-RN0049-13,"Shui Fu Road, Yuen Long, NT",-1,-1,29/01/2013
TAI PO,23/07/2013,28/01/2013,Paul Y. Builders Limited,GW-RN0050-13,"Tai Po, NT",-1,-1,24/02/2013
SHA TIN,04/08/2013,01/02/2013,Lam Woo & Company Limited,GW-RN0053-13,"Junction of Siu Lek Yuen Road and Sha Tin Wai Road, Shatin, N.T. (Water Supplies Department Contract No.: 20/WSD/06)",-1,-1,05/02/2013
YUEN LONG,13/08/2013,18/01/2013,Maeda-China State Joint Venture,GW-RN0054-13,Construction site of Express Rail Link – Shek Kong Stabling Sidings & Emergency Rescue Siding (Contract No. 823B),-1,-1,15/02/2013
SHA TIN,31/05/2013,25/01/2013,Gammon Construction Limited,GW-RN0055-13,"Shing Mun Tunnel Road, South Bound, CH5.20 and CH5.00 Full Width; Tai Po Road - Sha Tin, North Bound, CH5.54, Full Width, Shatin, N.T. (Highways Department Contract No.: 20/HY/2004)",-1,-1,21/01/2013
TAI PO,24/07/2013,28/01/2013,Gammon Construction Limited,GW-RN0056-13,"A Section of Tolo Highway (Fanling Bound) near Shek Lin Road, Tai Po, New Territories, (Widening of Tolo Highway / Fanling  Highway,Stage 1, Contract No. HY/2009/08).",-1,-1,24/01/2013
TAI PO,21/07/2013,29/01/2013,Gammon Construction Limited,GW-RN0064-13,"A section of Tolo Highway between Tai Po Tai Wo Road and Lam Kam Road (Widening of Tolo Highway/Fanling Highway, Stage 1, Contract No. HY/2009/08)",-1,-1,02/02/2013
NORTH DISTRICT,14/08/2013,30/01/2013,PCCL Joint Venture,GW-RN0067-13,"Footbridge No. NF122 Across Choi Yuen Road and San Wan Road at Pak Wo Road, Sheung Shui, NT",-1,-1,15/02/2013
SHA TIN,31/08/2013,05/02/2013,Hsin Chong Construction Company Limited,GW-RN0068-13,"Hong Kong Sports Institute, 25 Yuen Wo Road, Shatin, N.T.",22.39436,114.202385,01/03/2013
SAI KUNG,30/05/2013,01/02/2013,China Harbour Engineering Company Limited,GW-RN0069-13,"Construction of Landing and Access at Che Lei Pai Beacon (NB037) .(CEDD Maintenance Contract for Seawalls and Navigation Channels (2010-2013), Contract No. CV/2010/03)",-1,-1,19/02/2013
SHA TIN,27/08/2013,08/02/2013,Pat Davie Limited,GW-RN0070-13,"Shatin Racecourse Stable Block 14 and 17, The Hong Kong Jockey Club, Shatin, N.T.",-1,-1,28/02/2013
YUEN LONG,31/08/2013,21/01/2013,Chun Wo Construction & Engineering Company  Limited,GW-RN0071-13,"Castle Peak Road – Ping Shan, Yuen Long, NT, Location A near Long Tin Road, Location B near Rainbow Lodge, Location C near Ma Fung Ling Road  (Contract No. 9/WSD/10)",-1,-1,01/03/2013
SHA TIN,02/07/2013,01/02/2013,Program Contractors Limited,GW-RN0072-13,"Platform of MTR Sha Tin Station, Shatin, NT",-1,-1,03/02/2013
SHA TIN,02/06/2013,08/02/2013,Siemens Limited,GW-RN0074-13,"Electrical Substation, Kerry Warehouse (Shatin), 36-42 Shan Mei Street, Fo Tan, Shatin, N.T.",-1,-1,03/03/2013
NORTH DISTRICT,02/06/2013,30/01/2013,Siemens Limited,GW-RN0075-13,"Electrical Substation, Lincoln Centre, 20 Yip Fung Street, North District, NT",-1,-1,03/03/2013
SHA TIN,31/05/2013,15/02/2013,Thales Transport & Security (HK) Ltd,GW-RN0078-13,"Tracks area near Hin Tin Playground to Hin Tin Swimming Pool, MTR MOS Line, Sha Tin, NT",-1,-1,01/03/2013
SHA TIN,18/07/2013,15/02/2013,Hsin Chong Construction Company Limited,GW-RN0081-13,"Construction site at junction of On Yiu Street, On Kwan Street and On Lai Street, Shek Mun, Sha Tin, N.T.",-1,-1,19/02/2013
SHA TIN,17/08/2013,08/02/2013,Chun Wo Construction and Engineering Company Limited,GW-RN0085-13,"Sha Tin Wai Road near Prince of Wales of Hospital, Shatin, N.T. (WSD Contract No.: 15/WSD/08)",-1,-1,18/02/2013
SHA TIN,15/08/2013,15/02/2013,Sun Fook Kong Construction Limited and Sun Fook Kong (Civil) Limited trading as Sun Fook K,GW-RN0086-13,"MTR Tai Wai Station, Ma On Shan Line,  Shatin, N.T. (MTR Contract No.: SCL1101)",-1,-1,16/02/2013
SHA TIN,15/08/2013,15/02/2013,Sun Fook Kong Construction Limited and Sun Fook Kong (Civil) Limited trading as Sun Fook K,GW-RN0087-13,"MTR Che Kung Temple Station, Ma On Shan Line, Shatin, N.T. (MTR Contract No.: SCL1101)",-1,-1,16/02/2013
TAI PO,30/09/2013,08/02/2013,Kum Shing (K.F.) Construction Co. Ltd.,GW-RN0088-13,"Tai Po 400kv Substation, Tai Po, NT",-1,-1,01/04/2013
SHA TIN,31/08/2013,15/02/2013,Kum Shing (K.F.) Construction Co. Ltd.,GW-RN0089-13,"Eagle's Nest Tunnel & Shatin Heights Tunnel, Tsing Sha Highway, Shatin, N.T.",-1,-1,01/03/2013
TAI PO,28/07/2013,07/02/2013,GAMMON CONSTRUCTION LIMITED,GW-RN0091-13,"Tolo Highway and Fanling Highway near Tai Po Tai Wo Road, Lam Kam Interchange & Tai Wo Service Road West, Tai Po, N.T. (Widening of Tolo Highway / Fanling Highway Stage 1, Contract No. HY/2009/08)",-1,-1,01/03/2013
YUEN LONG,05/08/2013,06/02/2013,Chun Wo Construction and Engineering Company Limited,GW-RN0093-13,"Fuk Hi Street, Yuen Long Industrial Estate, Yuen Long, New Territories",22.4592244,114.0309608,09/02/2013
SHA TIN,02/06/2013,18/02/2013,Siemens  Limited,GW-RN0094-13,"Electrical Substation, Fu Shan Public Mortuary, No.10 Yau On Street, Shatin, NT",-1,-1,17/03/2013
SHA TIN,04/06/2013,15/02/2013,China State Construction Engineering (Hong Kong) Limited,GW-RN0096-13,"Tolo Highway near Ma Liu Shui Ferry Pier and near Hong Kong Science Park, Shatin, N.T.",22.4290682,114.2085857,19/02/2013
SHA TIN,06/09/2013,04/03/2013,China State Construction Engineering (Hong Kong) Ltd.,GW-RN0098-13,"Shatin Area 52 Phase 1(Shui Chuen O), Shatin, NT",-1,-1,07/03/2013
TAI PO,17/08/2013,21/02/2013,Chun WoConstruction & Engineering Company Limited,GW-RN0100-13,"Po Wu Lane near Tai Po Wong Siu Ching Clinic, Tai Po, New Territories. (WSD Contract No. 15/WSD/08)",-1,-1,25/02/2013
NORTH DISTRICT,24/05/2013,14/02/2013,Chun Wo Construction and Engineering Company Limited,GW-RN0101-13,"Fanling Highway, North Bound, between CH 24.00 to CH24.90, North District, N.T. (Highways Department contract no.: HY/2009/04)",-1,-1,25/02/2013
SHA TIN,06/08/2013,08/02/2013,Maeda Corporation,GW-RN0102-13,"Platform at MTR Sha Tin Station, Shatin, N.T.",-1,-1,07/02/2013
SHA TIN,29/06/2013,08/02/2013,Maeda Corporation,GW-RN0103-13,Paid and unpaid concourse including the existing escalator area at Shatin Station,-1,-1,26/02/2013
TAI PO,27/05/2013,08/02/2013,Ka Shun Civil Engineering Co. Ltd,GW-RN0104-13,"Ting Kok Road between Fung Yuen Road and Dai Fat Streer, Tai Po Industrial Estate, Tai Po, NT",-1,-1,01/03/2013
